0.005,0.008,0.782398
0.01,0.016,0.779398
0.015,0.024,0.776398
0.02,0.032,0.773398
0.025,0.04,0.770398
0.03,0.048,0.767398
0.035,0.056,0.764398
0.04,0.064,0.761398
0.045,0.072,0.758398
0.05,0.08,0.755398
0.055,0.088,0.752398
0.06,0.096,0.749398
0.065,0.104,0.746398
0.07,0.112,0.743398
0.075,0.12,0.740398
0.08,0.128,0.737398
0.085,0.136,0.734398
0.09,0.144,0.731398
0.095,0.152,0.728398
0.1,0.16,0.725398
0.105,0.168,0.722398
0.11,0.176,0.719398
0.115,0.184,0.716398
0.12,0.192,0.713398
0.125,0.2,0.710398
0.13,0.208,0.707398
0.135,0.216,0.704398
0.14,0.224,0.701398
0.145,0.232,0.698398
0.15,0.24,0.695398
0.155,0.248,0.692398
0.16,0.256,0.689398
0.165,0.264,0.686398
0.17,0.272,0.683398
0.175,0.28,0.680398
0.18,0.288,0.677398
0.185,0.296,0.674398
0.19,0.304,0.671398
0.195,0.312,0.668398
0.2,0.32,0.665398
0.205,0.328,0.662398
0.21,0.336,0.659398
0.215,0.344,0.656398
0.22,0.352,0.653398
0.225,0.36,0.650398
0.23,0.368,0.647398
0.235,0.376,0.644398
0.24,0.384,0.641398
0.245,0.392,0.638398
0.25,0.4,0.635398
0.255,0.408,0.632398
0.26,0.416,0.629398
0.265,0.424,0.626398
0.27,0.432,0.623398
0.275,0.44,0.620398
0.28,0.448,0.617398
0.285,0.456,0.614398
0.29,0.464,0.611398
0.295,0.472,0.608398
0.3,0.48,0.605398
0.305,0.488,0.602398
0.31,0.496,0.599398
0.315,0.504,0.596398
0.32,0.512,0.593398
0.325,0.52,0.590398
0.33,0.528,0.587398
0.335,0.536,0.584398
0.34,0.544,0.581398
0.345,0.552,0.578398
0.35,0.56,0.575398
0.355,0.568,0.572398
0.36,0.576,0.569398
0.365,0.584,0.566398
0.37,0.592,0.563398
0.375,0.6,0.560398
0.38,0.608,0.557398
0.385,0.616,0.554398
0.39,0.624,0.551398
0.395,0.632,0.548398
0.4,0.64,0.545398
0.405,0.648,0.542398
0.41,0.656,0.539398
0.415,0.664,0.536398
0.42,0.672,0.533398
0.425,0.68,0.530398
0.43,0.688,0.527398
0.435,0.696,0.524398
0.44,0.704,0.521398
0.445,0.712,0.518398
0.45,0.72,0.515398
0.455,0.728,0.512398
0.46,0.736,0.509398
0.465,0.744,0.506398
0.47,0.752,0.503398
0.475,0.76,0.500398
0.48,0.768,0.497398
0.485,0.776,0.494398
0.49,0.784,0.491398
0.495,0.792,0.488398
0.5,0.8,0.485398
0.505,0.808,0.482398
0.51,0.816,0.479398
0.515,0.824,0.476398
0.52,0.832,0.473398
0.525,0.84,0.470398
0.53,0.848,0.467398
0.535,0.856,0.464398
0.54,0.864,0.461398
0.545,0.872,0.458398
0.55,0.88,0.455398
0.555,0.888,0.452398
0.56,0.896,0.449398
0.565,0.904,0.446398
0.57,0.912,0.443398
0.575,0.92,0.440398
0.58,0.928,0.437398
0.585,0.936,0.434398
0.59,0.944,0.431398
0.595,0.952,0.428398
0.6,0.96,0.425398
0.605,0.968,0.422398
0.61,0.976,0.419398
0.615,0.984,0.416398
0.62,0.992,0.413398
0.625,1,0.410398
0.63,1.008,0.407398
0.635,1.016,0.404398
0.64,1.024,0.401398
0.645,1.032,0.398398
0.65,1.04,0.395398
0.655,1.048,0.392398
0.66,1.056,0.389398
0.665,1.064,0.386398
0.67,1.072,0.383398
0.675,1.08,0.380398
0.68,1.088,0.377398
0.685,1.096,0.374398
0.69,1.104,0.371398
0.695,1.112,0.368398
0.7,1.12,0.365398
0.705,1.128,0.362398
0.71,1.136,0.359398
0.715,1.144,0.356398
0.72,1.152,0.353398
0.725,1.16,0.350398
0.73,1.168,0.347398
0.735,1.176,0.344398
0.74,1.184,0.341398
0.745,1.192,0.338398
0.75,1.2,0.335398
0.755,1.208,0.332398
0.76,1.216,0.329398
0.765,1.224,0.326398
0.77,1.232,0.323398
0.775,1.24,0.320398
0.78,1.248,0.317398
0.785,1.256,0.314398
0.79,1.264,0.311398
0.795,1.272,0.308398
0.8,1.28,0.305398
0.805,1.288,0.302398
0.81,1.296,0.299398
0.815,1.304,0.296398
0.82,1.312,0.293398
0.825,1.32,0.290398
0.83,1.328,0.287398
0.835,1.336,0.284398
0.84,1.344,0.281398
0.845,1.352,0.278398
0.85,1.36,0.275398
0.855,1.368,0.272398
0.86,1.376,0.269398
0.865,1.384,0.266398
0.87,1.392,0.263398
0.875,1.4,0.260398
0.88,1.408,0.257398
0.885,1.416,0.254398
0.89,1.424,0.251398
0.895,1.432,0.248398
0.9,1.44,0.245398
0.905,1.448,0.242398
0.91,1.456,0.239398
0.915,1.464,0.236398
0.92,1.472,0.233398
0.925,1.48,0.230398
0.93,1.488,0.227398
0.935,1.496,0.224398
0.94,1.504,0.221398
0.945,1.512,0.218398
0.95,1.52,0.215398
0.955,1.528,0.212398
0.96,1.536,0.209398
0.965,1.544,0.206398
0.97,1.552,0.203398
0.975,1.56,0.200398
0.98,1.568,0.197398
0.985,1.576,0.194398
0.99,1.584,0.191398
0.995,1.592,0.188398
1,1.6,0.185398
1.005,1.608,0.182398
1.01,1.616,0.179398
1.015,1.624,0.176398
1.02,1.632,0.173398
1.025,1.64,0.170398
1.03,1.648,0.167398
1.035,1.656,0.164398
1.04,1.664,0.161398
1.045,1.672,0.158398
1.05,1.68,0.155398
1.055,1.688,0.152398
1.06,1.696,0.149398
1.065,1.704,0.146398
1.07,1.712,0.143398
1.075,1.72,0.140398
